product_id,h_code
VAR-QB00114,H335
VAR-QB00114,H315
VAR-QB00115,H314
VAR-QB00115,H317
VAR-QB00115,H410
IFF-QB00101,H317
IFF-QB00101,H351
IFF-QB00101,H361
IFF-QB00154,H317
IFF-QB00154,H319
IFF-QB00154,H351
IFF-QB00210,H317
IFF-QB00210,H361
IFF-QB00026,H226
IFF-QB00026,H304
IFF-QB00026,H315
IFF-QB00026,H317
IFF-QB00026,H319
IFF-QB00026,H361
IFF-QB00027,H317
IFF-QB00027,H361
IFF-QB00257,H227
IFF-QB00257,H304
IFF-QB00257,H315
IFF-QB00257,H317
IFF-QB00257,H361
IFF-QB00257,H411
VAR-QB00119,H302+H312
VAR-QB00119,H318
VAR-QB00119,H411
VAR-QB00122,H302
VAR-QB00122,H313
VAR-QB00122,H315
VAR-QB00122,H318
VAR-QB00122,H401
VAR-QB00122,H411
ASH-QB00056,H319
IFF-QB00258,H315
IFF-QB00258,H317
IFF-QB00258,H319
IFF-QB00258,H351
IFF-QB00258,H411
LUB-QB00047,H316
LUB-QB00048,H316
LUB-QB00048,H317
LUB-QB00048,H412
