product_id,p_code
VAR-QB00058,P391
VAR-QB00058,P390
VAR-QB00058,P403+P233
VAR-QB00058,P405
VAR-QB00058,P406
VAR-QB00058,P501
VAR-QB00059,P264
VAR-QB00059,P280
VAR-QB00059,P302+P352
VAR-QB00059,P305+P351+P338
VAR-QB00059,P332+P313
VAR-QB00059,P337+P313
VAR-QB00059,P362
VAR-QB00061,P102
VAR-QB00061,P260
VAR-QB00061,P264
VAR-QB00061,P273
VAR-QB00061,P280
VAR-QB00061,P301+P330+P331
VAR-QB00061,P303+P361+P353
VAR-QB00061,P304+P340
VAR-QB00061,P305+P351+P338
VAR-QB00061,P390
VAR-QB00061,P391
VAR-QB00061,P403+P233
VAR-QB00061,P405
VAR-QB00061,P406
VAR-QB00061,P501
VAR-QB00064,P102
VAR-QB00064,P260
VAR-QB00064,P264
VAR-QB00064,P273
VAR-QB00064,P280
VAR-QB00064,P301+P330+P331
VAR-QB00064,P303+P361+P353
VAR-QB00064,P304+P340
VAR-QB00064,P305+P351+P338
VAR-QB00064,P390
VAR-QB00064,P391
VAR-QB00064,P403+P233
VAR-QB00064,P405
VAR-QB00064,P406
VAR-QB00064,P501
VAR-QB00065,P201
VAR-QB00065,P202
VAR-QB00065,P260
VAR-QB00065,P264
VAR-QB00065,P280
VAR-QB00193,P280
VAR-QB00193,P305+P351+P338
VAR-QB00193,P310
VAR-QB00066,P201
VAR-QB00066,P202
VAR-QB00066,P281
VAR-QB00066,P308+P313
VAR-QB00066,P405
VAR-QB00066,P501
VAR-QB00067,P102
VAR-QB00067,P260
VAR-QB00067,P264
VAR-QB00067,P273
VAR-QB00067,P280
