Codigo interno ,Chemical Name
IFF-QB00188,HOMBRE MILLON 
IFF-QB00027,NEVERLAND 700
IFF-QB00017,JAZMIN GREEN 263
,OILKEMIA 55 S/P
VAR-QB00089,EXTRACTO DE SEMILLA DE TORONJA (GRADO ACUOSO INGERIBLE)
,JASMIN STRAWBERRY
IFF-QB00006,CITRUS SPARKLE 831 S/P
,CITRUS HERBAL 615 S/P
,PURPLE SKY 990 S/P
VAR-QB00061,COLOR ROJO NO. 6 GEL
ASH-QB00036,P.V.P. K 30
IFF-QB00203,SPARK FRESH 317
IFF-QB00202,LUXEL 149
VAR-QB00045,COLOR AMARILLO AL ACEITE SOLVENTE S/P
IFF-QB00277,SUN FLOWERS 1322 S/P
IFF-QB00271,SMOOTH BABY 1566 S/P
IFF-QB00274,SPARKLING CITRUS 355
IFF-QB00278,SUNSHINE FLOWERS 324
,MAX ELEGANCY 9021
IFF-QB00127,BABY HYPO 168
IFF-QB00132,CHAMP DE LAVAND 897
IFF-QB00135,COCONUT AND ALOE 813 S/P
VAR-QB00050,COLOR AZUL AL ACEITE (ACEITE MOPS)
KAO-QB00059,KAOSOFT HW TAMBOR
,COLOR CAFÉ 95
IFF-QB00196,VICTORY 225
VAR-QB00115,MIT QB(CONSERVADOR LIBRE DE FORMOL) S/P
IFF-QB00187,GHOST 081
IFF-QB00150,JUNGLE MELON 836
IFF-QB00112,SUMMER SUNSET 066
IFF-QB00149,JUICY FRESH CITRUS 120
IFF-QB00231,POTPURRI FRUIT 755
IFF-QB00270,SIMPLE POSSION 383
IFF-QB00248,GREEN WATER 8225
VAR-QB00058,"COLOR ROJO ACIDO 52 (ROSA) (LIMPIADORES, QUITA SARRO)"
IFF-QB00179,BLACK FLORAL 842
IFF-QB00121,WATERY TIMBRE 939 S/P
IFF-QB00105,PINK LADY 819 S/P
VAR-QB00143,TRANSCUTOL HP
ASH-QB00041,RAPITHIX A-100 S/P
LUB-QB00004,ARBALON R-50 CELLULOSE LIQ
IFF-QB00107,SENSUAL BREEZE 873 S/P
IFF-QB00147,GINGER TOUCH 917 S/P
IFF-QB00048,FLORAL CREAMY 275 S/P
ASH-QB00017,EUXYL PE 9010
IFF-QB00134,CLEAN SCENT 655 S/P
IFF-QB00035,WOOD WICK 122
LUB-QB00049,NOVETHIX HC 200
VAR-QB00010,ACIDO OLEICO QB S/P
IFF-QB00235,CITRIC LEMON FRESH
IFF-QB00243,FOUGERE GREEN 3020 S/P
,EASY ADDICTION 186 S/P
IFF-QB00275,SPORTIVO MEN 2023
IFF-QB00221,BELLE FEMME 6040
IFF-QB00241,FEMME ROUSE 7525
,GREEN TUBEROSE 432
KAO-QB00032,DANOX HC30
VAR-QB00159,SORBATO DE POTASIO
IFF-QB00267,SB CHERRY
LUB-QB00066,SILSENSE BIO5 S/P
IFF-QB00138,DEATH BY CHOCOLATE S/P
IFF-QB00141,ELDEBERRY S/P
IFF-QB00145,FROSTED WHITE CITRON S/P
IFF-QB00148,INDULGENT TOUCH 268
IFF-QB00154,MUSK 377
IFF-QB00057,MAJESTIC BLUE 935
IFF-QB00058,PURPLE MYSTERY S/P
IFF-QB00070,SUNSENSATION S/P
IFF-QB00157,PINEAPPLE PARADISE S/P
IFF-QB00028,PRECIOUS CARE 828 S/P
KAO-QB00027,TETRANYL L9-90E
LUB-QB00056,RESULOOK S/P
IFF-QB00239,DOW YELLOW
IFF-QB00216,SPRING TIME 289
IFF-QB00215,SPRING BREAK 290
IFF-QB00212,PREMIUM FABRIC 701
VAR-QB00124,NS MICELLAR HYALURONIC
KAO-QB00024,AMIET 515
,DIAMIET 503
,CLORURO DE BENZALCONIO AL 80% (TETRANYL BC 80)
IFF-QB00205,CLEAN PLUS 049
IFF-QB00211,PERFECT BRIGHT 056
IFF-QB00213,PREMIUM FABRIC 992
IFF-QB00197,BLOOM MEDLEY 420
ASH-QB00046,SUBERLIFTT LIPOPHILE S/P
VAR-QB00191,POLYQUATERNIUM 10
LUB-QB00002,ACTIPHYTE BLUE AGAVE GL100NP
IFF-QB00210,MY FLORAL 448
IFF-QB00217,APPLE FRUITY 8230
,GINGER 295
IFF-QB00280,SUSPIRO DE AZAR 33
LUB-QB00017,CARBOPOL CLEAR
KAO-QB00056,KAOSOFT AT-50V
ASH-QB00014,ESCALOL 577
VAR-QB00103,GLUCOPON 625
,FRAGANCIA COM 2284
IFF-QB00144,FLORAL TOUCH 956
,PALOMA BLANCA 98
KAO-QB00064,QUARTAMIN 60W30P
VAR-QB00025,BASE PARA DIFUSORES AMBIENTALES
IFF-QB00252,LOVE & AFFECTION 2514
IFF-QB00219,BAMBOO BLEND
IFF-QB00237,DESTELLOS DE SOL
IFF-QB00232,CARISMAS 2911
IFF-QB00299,NOCHEBUENA 24
VAR-QB00171,EXTRACTO DE PEPINO
,SOFT MUSK 310
KAO-QB00017,AKYPO SUGAR LM-42
IFF-QB00136,COMPLETELY NUTS S/P
ASH-QB00070,GERMALL PLUS POLVO
IFF-QB00319,GREEN TEA CUCUMBER 956
