product_id,pictogram_id
IFF-QB00216,GHS07
IFF-QB00216,GHS08
IFF-QB00063,GHS07
IFF-QB00063,GHS08
IFF-QB00276,GHS07
IFF-QB00276,GHS08
IFF-QB00276,GHS09
IFF-QB00064,GHS07
IFF-QB00064,GHS08
LUB-QB00069,GHS07
LUB-QB00069,GHS05
IFF-QB00112,GHS07
IFF-QB00112,GHS08
IFF-QB00070,GHS07
IFF-QB00070,GHS08
ASH-QB00047,GHS05
VAR-QB00138,GHS07
ASH-QB00048,GHS07
ASH-QB00048,GHS08
IFF-QB00113,GHS07
IFF-QB00113,GHS08
IFF-QB00114,GHS07
IFF-QB00114,GHS08
IFF-QB00115,GHS07
IFF-QB00115,GHS08
IFF-QB00115,GHS02
IFF-QB00115,GHS09
IFF-QB00281,GHS07
IFF-QB00281,GHS05
IFF-QB00281,GHS08
IFF-QB00281,GHS09
IFF-QB00116,GHS07
IFF-QB00116,GHS08
VAR-QB00140,GHS05
VAR-QB00140,GHS08
VAR-QB00141,GHS08
VAR-QB00141,GHS02
VAR-QB00141,GHS09
KAO-QB00070,GHS02
KAO-QB00072,GHS02
KAO-QB00075,GHS07
KAO-QB00075,GHS05
KAO-QB00075,GHS09
KAO-QB00076,GHS07
KAO-QB00076,GHS05
KAO-QB00076,GHS02
KAO-QB00078,GHS07
KAO-QB00078,GHS05
KAO-QB00078,GHS02
KAO-QB00079,GHS07
KAO-QB00079,GHS05
IFF-QB00195,GHS07
IFF-QB00195,GHS05
VAR-QB00144,GHS07
VAR-QB00144,GHS09
IFF-QB00282,GHS07
IFF-QB00282,GHS08
IFF-QB00282,GHS02
IFF-QB00282,GHS09
IFF-QB00117,GHS07
IFF-QB00117,GHS08
IFF-QB00066,GHS07
IFF-QB00066,GHS08
IFF-QB00118,GHS07
IFF-QB00118,GHS08
IFF-QB00118,GHS02
IFF-QB00283,GHS07
IFF-QB00067,GHS07
IFF-QB00067,GHS08
IFF-QB00284,GHS07
IFF-QB00284,GHS08
IFF-QB00284,GHS09
IFF-QB00286,GHS07
IFF-QB00286,GHS05
IFF-QB00286,GHS08
IFF-QB00286,GHS09
IFF-QB00068,GHS07
IFF-QB00068,GHS08
IFF-QB00120,GHS07
IFF-QB00120,GHS08
IFF-QB00196,GHS07
IFF-QB00196,GHS08
IFF-QB00287,GHS07
IFF-QB00287,GHS08
IFF-QB00287,GHS09
ASH-QB00050,GHS07
VAR-QB00149,GHS07
VAR-QB00149,GHS05
VAR-QB00149,GHS09
IFF-QB00288,GHS07
IFF-QB00172,GHS07
IFF-QB00172,GHS08
IFF-QB00121,GHS07
IFF-QB00121,GHS08
IFF-QB00291,GHS07
IFF-QB00069,GHS07
IFF-QB00069,GHS08
IFF-QB00035,GHS07
IFF-QB00035,GHS08
ASH-QB00052,GHS07
